Epoch 127, Loss: 0.6708, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 128, Loss: 0.6713, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 129, Loss: 0.6696, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 130, Loss: 0.6710, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 131, Loss: 0.6714, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 132, Loss: 0.6691, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 133, Loss: 0.6702, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 134, Loss: 0.6708, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 135, Loss: 0.6697, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 136, Loss: 0.6700, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 137, Loss: 0.6701, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 138, Loss: 0.6683, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 139, Loss: 0.6717, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 140, Loss: 0.6706, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 141, Loss: 0.6701, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 142, Loss: 0.6688, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 143, Loss: 0.6711, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 144, Loss: 0.6698, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 145, Loss: 0.6698, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 146, Loss: 0.6684, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 147, Loss: 0.6697, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 148, Loss: 0.6696, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 149, Loss: 0.6679, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 150, Loss: 0.6687, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
