Epoch 145, Loss: 0.6706, Accuracy: 0.5875, lr: 0.002
Epoch 146, Loss: 0.6713, Accuracy: 0.5875, lr: 0.002
Epoch 147, Loss: 0.6685, Accuracy: 0.5875, lr: 0.002
Epoch 148, Loss: 0.6714, Accuracy: 0.5875, lr: 0.002
Epoch 149, Loss: 0.6697, Accuracy: 0.5875, lr: 0.002
Epoch 150, Loss: 0.6707, Accuracy: 0.5875, lr: 0.002
Epoch 151, Loss: 0.6708, Accuracy: 0.5875, lr: 0.002
Epoch 152, Loss: 0.6702, Accuracy: 0.5875, lr: 0.002
Epoch 153, Loss: 0.6700, Accuracy: 0.5875, lr: 0.002
Epoch 154, Loss: 0.6685, Accuracy: 0.5875, lr: 0.002
Epoch 155, Loss: 0.6682, Accuracy: 0.5875, lr: 0.002
Epoch 156, Loss: 0.6695, Accuracy: 0.5875, lr: 0.002
Epoch 157, Loss: 0.6681, Accuracy: 0.5875, lr: 0.002
Epoch 158, Loss: 0.6703, Accuracy: 0.5875, lr: 0.002
Epoch 159, Loss: 0.6696, Accuracy: 0.5875, lr: 0.002
Epoch 160, Loss: 0.6696, Accuracy: 0.5875, lr: 0.002
Epoch 161, Loss: 0.6706, Accuracy: 0.5875, lr: 0.002
Epoch 162, Loss: 0.6703, Accuracy: 0.5875, lr: 0.002
Epoch 163, Loss: 0.6686, Accuracy: 0.5875, lr: 0.002
Epoch 164, Loss: 0.6693, Accuracy: 0.5875, lr: 0.002
Epoch 165, Loss: 0.6683, Accuracy: 0.5875, lr: 0.002
Epoch 166, Loss: 0.6678, Accuracy: 0.5917, lr: 0.002
Epoch 167, Loss: 0.6707, Accuracy: 0.5958, lr: 0.002
Epoch 168, Loss: 0.6677, Accuracy: 0.5975, lr: 0.002
Epoch 169, Loss: 0.6717, Accuracy: 0.5917, lr: 0.002
Epoch 170, Loss: 0.6694, Accuracy: 0.5942, lr: 0.002
Epoch 171, Loss: 0.6695, Accuracy: 0.5917, lr: 0.0019846153846153846
Epoch 172, Loss: 0.6692, Accuracy: 0.5942, lr: 0.0019692307692307696
Epoch 173, Loss: 0.6705, Accuracy: 0.5933, lr: 0.0019538461538461537
Epoch 174, Loss: 0.6680, Accuracy: 0.5967, lr: 0.0019384615384615384
Epoch 175, Loss: 0.6751, Accuracy: 0.6017, lr: 0.0019230769230769232
Epoch 176, Loss: 0.6696, Accuracy: 0.5933, lr: 0.0019076923076923075
Epoch 177, Loss: 0.6751, Accuracy: 0.5917, lr: 0.0018923076923076923
Epoch 178, Loss: 0.6694, Accuracy: 0.5875, lr: 0.001876923076923077
Epoch 179, Loss: 0.6735, Accuracy: 0.5875, lr: 0.0018615384615384616
Epoch 180, Loss: 0.6692, Accuracy: 0.5875, lr: 0.0018461538461538463
Epoch 181, Loss: 0.6697, Accuracy: 0.5875, lr: 0.0018307692307692307
Epoch 182, Loss: 0.6668, Accuracy: 0.5875, lr: 0.0018153846153846154
Epoch 183, Loss: 0.6739, Accuracy: 0.5875, lr: 0.0018000000000000002
Epoch 184, Loss: 0.6692, Accuracy: 0.5875, lr: 0.0017846153846153845
Epoch 185, Loss: 0.6690, Accuracy: 0.5875, lr: 0.0017692307692307693
Epoch 186, Loss: 0.6705, Accuracy: 0.5875, lr: 0.0017538461538461538
Epoch 187, Loss: 0.6680, Accuracy: 0.5875, lr: 0.0017384615384615386
Epoch 188, Loss: 0.6717, Accuracy: 0.5883, lr: 0.0017230769230769233
Epoch 189, Loss: 0.6675, Accuracy: 0.5917, lr: 0.0017076923076923076
Epoch 190, Loss: 0.6698, Accuracy: 0.5925, lr: 0.0016923076923076924
Epoch 191, Loss: 0.6706, Accuracy: 0.5967, lr: 0.001676923076923077
Epoch 192, Loss: 0.6692, Accuracy: 0.5933, lr: 0.0016615384615384615
Epoch 193, Loss: 0.6688, Accuracy: 0.5908, lr: 0.001646153846153846
Epoch 194, Loss: 0.6684, Accuracy: 0.5925, lr: 0.0016307692307692308
Epoch 195, Loss: 0.6712, Accuracy: 0.5967, lr: 0.0016153846153846155
Epoch 196, Loss: 0.6710, Accuracy: 0.5892, lr: 0.0016
Epoch 197, Loss: 0.6690, Accuracy: 0.5908, lr: 0.0015846153846153846
Epoch 198, Loss: 0.6683, Accuracy: 0.5933, lr: 0.0015692307692307692
Epoch 199, Loss: 0.6702, Accuracy: 0.5992, lr: 0.001553846153846154
Epoch 200, Loss: 0.6683, Accuracy: 0.5883, lr: 0.0015384615384615385
Epoch 201, Loss: 0.6692, Accuracy: 0.5942, lr: 0.001523076923076923
Epoch 202, Loss: 0.6700, Accuracy: 0.5933, lr: 0.0015076923076923078
Epoch 203, Loss: 0.6674, Accuracy: 0.5992, lr: 0.0014923076923076923
Epoch 204, Loss: 0.6697, Accuracy: 0.5950, lr: 0.001476923076923077
Epoch 205, Loss: 0.6683, Accuracy: 0.5950, lr: 0.0014615384615384616
